num	fish	treatment	length	total_relative_distance 	cumulative_duration_intern	latency_to_first_intern	cumulative_duration_extern	latency_to_first_extern	cumulative_time_shelter	repetition	out_shelter
1	5C1	low	1.83	677.305	155.28	224.08	608.12	199.48	1036.6	one	1
2	1A5	low	1.747	596.165	34.28	1004.84	292.64	914.44	1473.08	one	1
3	7A2	controle	1.747	173.009	129.88	838.76	840.68	805.2	829.44	one	1
4	7A3	controle	1.745	1059.74	173.72	170.8	1039	152.52	587.28	one	1
5	7C1	controle	1.658	704.006	236.96	497.68	833.24	7.24	729.8	one	1
6	8A4	controle	2.065	534.127	57.48	397.88	627.04	323.32	1115.48	one	1
7	8A5	low	1.754	421.467	60.88	389.76	233.56	373.64	1505.56	one	1
8	8A6	low	1.782	1821.89	193.32	194.84	783.2	187.52	823.48	one	1
9	12B3	high	1.985	367.336	5.12	1288.32	7.44	1281.56	1787.44	one	1
10	12B4	low	1.792	2086.67	162.32	210.2	502.68	191.72	1135	one	1
11	12C4	controle	1.84	3866.9	223.16	86.2	688.92	84.32	887.92	one	1
12	1A6	controle	1.728	552.816	554.64	99.44	722.96	52.96	522.4	one	1
13	1C4	controle	1.774	1408.32	230.44	167.04	673.28	93.08	896.28	one	1
14	2A4	controle	1.814	111645.19	163.64	236.12	702.8	209.92	933.56	one	1
15	2D2	low	1.774	303.275	36.84	931.64	190.68	925.44	1572.48	one	1
16	2D5	low	1.768	637.104	33.48	211.24	416.2	205.16	1350.32	one	1
17	3C5	low	1.803	2319.17	309.08	465.8	831	463.72	659.92	one	1
18	10A5	controle	1.788	706.553	115.48	213.88	516.2	147.72	1168.32	one	1
19	10C4	controle	1.714	2671.15	144.48	177	794.52	72.6	861	one	1
20	10C5	controle	1.856	436.689	201.32	37.2	534.2	0	1064.48	one	1
21	10C6	low	1.774	4196.37	298.8	129.88	1249.16	119.56	252.04	one	1
22	10D2	low	1.774	204.232	49.64	730.32	134.68	541	1615.68	one	1
23	11A3	low	1.96	334.865	21.12	629.76	194.6	502.04	1584.28	one	1
24	11A5	low	2.005	2279.18	171.28	212.12	610.52	177.56	1018.2	one	1
25	11A4	high	1.699	456.063	610.72	228.36	498.76	103.44	690.52	one	1
26	7B6	controle	1.885	600.488	149.84	275.6	581.32	134.12	1068.84	one	1
27	12A3	high	1.842	504.2268	106	367	458.96	366.84	1235.04	one	1
28	10A2	low	1.913	506.869	57.84	487.32	541.28	338.04	1200.88	one	1
29	12B6	controle	1.908	624.27	94.4	964.52	283.16	14.24	1422.44	one	1
30	12C3	low	2.016	459.211	51.08	507.8	569.76	353	1179.16	one	1
31	11D2	controle	1.753	272.462	47.16	784.88	173.32	357.36	1579.52	one	1
33	9A5	controle	1.924	3454.91	279.92	194.16	831.32	191.04	688.76	one	1
34	11B1	high	2.067	163.29	29.12	801.24	141.12	796.36	1629.76	one	1
35	11B6	high	1.875	1411.34	159.96	145.72	803.04	47.32	837	one	1
36	12B1	high	1.957	461.492	94.52	528.68	286.4	424.2	1419.08	one	1
37	10B4	controle	1.958	0	0	1800	0	1800	1800	one	0
38	5C1	low	2.021	411.98	19.72	227.12	389.28	212.12	1391	two	1
39	1A5	low	1.842	489.589	0.8	24.96	7.68	13.92	1791.52	two	1
40	7A2	controle	1.783	148.837	0	1800	44.64	229.4	1755.36	two	1
41	7A3	controle	1.836	376.577	20.12	166.12	249.96	120.92	1529.92	two	1
42	7C1	controle	1.866	275.662	25.8	828.48	118.84	151.24	1655.36	two	1
43	8A4	controle	2.142	36.596	0	1800	39.36	1042.45	1760.64	two	1
44	8A5	low	1.815	34.8727	2.8	870.52	13.88	862.56	1783.32	two	1
45	8A6	low	1.881	624.694	77.72	1173.96	294.68	1156.44	1427.6	two	1
46	12B3	high	1.989	9.886	0	1800	7.28	1294.36	1792.72	two	1
47	12B4	low	1.926	3133.844	43.92	1800	513.16	7.44	1242.92	two	1
